dimension,questionText,optA,optB,optC,optD,optE,optF,correctOption,source,license,poolGroup
numerical,A book costs ₹450. After a 10% discount what is the price?,₹400,₹405,₹410,₹415,,,b,AUTHORED,,
numerical,The sum of three consecutive integers is 72. What is the largest?,23,24,25,26,,,c,AUTHORED,,
numerical,A worker earns ₹15000 per month. What is the annual salary?,₹150000,₹180000,₹200000,₹175000,,,b,AUTHORED,,
numerical,A pizza is cut into 8 equal slices and 3 are eaten. What fraction remains?,3/8,1/2,5/8,2/3,,,c,AUTHORED,,
numerical,What is the square root of 144?,11,12,13,14,,,b,AUTHORED,,
numerical,A tank fills at 20 litres per minute. How long to fill 300 litres?,10 min,12 min,15 min,20 min,,,c,AUTHORED,,
numerical,Evaluate 7 × 8 − 6.,48,50,56,62,,,b,AUTHORED,,
numerical,If 1 USD = ₹80 how many rupees is 5 USD?,₹350,₹400,₹450,₹320,,,b,AUTHORED,,
numerical,A class has 40 students and 60% are girls. How many boys are there?,14,16,24,20,,,b,AUTHORED,,
numerical,What is 25% of 360?,80,90,100,120,,,b,AUTHORED,,
verbal,Choose the word closest in meaning to BRAVE.,Timid,Courageous,Weak,Quiet,,,b,AUTHORED,,
verbal,Choose the word OPPOSITE in meaning to ANCIENT.,Old,Modern,Historic,Ruined,,,b,AUTHORED,,
verbal,Bird is to Sky as Fish is to ___.,Net,Water,Scale,Boat,,,b,AUTHORED,,
verbal,Choose the word closest in meaning to HAPPY.,Sad,Joyful,Angry,Tired,,,b,AUTHORED,,
verbal,Choose the word OPPOSITE in meaning to VICTORY.,Win,Defeat,Battle,Glory,,,b,AUTHORED,,
verbal,Choose the correctly spelled word from the four options.,Definately,Definitely,Definitly,Defenitely,,,b,AUTHORED,,
verbal,Author is to Book as Composer is to ___.,Music,Stage,Audience,Piano,,,a,AUTHORED,,
verbal,Identify the word that does not belong in the group.,Apple,Banana,Carrot,Mango,,,c,AUTHORED,,
verbal,Choose the word closest in meaning to ENORMOUS.,Tiny,Huge,Average,Narrow,,,b,AUTHORED,,
verbal,She was ___ for her kindness. Choose the correct word.,known,knew,knowing,knows,,,a,AUTHORED,,
logical,"Find the next number: 5, 10, 20, 40, ?",60,70,80,100,,,c,AUTHORED,,
logical,"Find the next number: 1, 1, 2, 3, 5, 8, ?",11,12,13,15,,,c,AUTHORED,,
logical,Which day comes immediately after Friday?,Thursday,Saturday,Sunday,Monday,,,b,AUTHORED,,
logical,"Which number does NOT belong: 4, 8, 12, 15, 16?",8,12,15,16,,,c,AUTHORED,,
logical,"Find the next letter: B, D, F, H, ?",I,J,K,L,,,b,AUTHORED,,
logical,"If + means multiply, what is 3 + 4?",7,12,1,34,,,b,AUTHORED,,
logical,"Find the next number: 100, 50, 25, ?",10,12.5,15,20,,,b,AUTHORED,,
logical,A man says of a photo: He is the son of my mother. Who is he to the man?,Father,Brother,Son,Uncle,,,b,AUTHORED,,
logical,"Complete the series: AZ, BY, CX, ?",DV,DW,EW,DX,,,b,AUTHORED,,
logical,"Find the missing number: 2, 4, 8, 16, ?, 64",24,30,32,48,,,c,AUTHORED,,
